tree_code,area_b,area_s,area_u,eccentricity_b,eccentricity_s,eccentricity_u,ellipse_aspect_ratio_b,ellipse_aspect_ratio_s,ellipse_aspect_ratio_u,ellipse_center_0_b,ellipse_center_0_s,ellipse_center_0_u,ellipse_center_1_b,ellipse_center_1_s,ellipse_center_1_u,hu_moment_0_b,hu_moment_0_s,hu_moment_0_u,hu_moment_1_b,hu_moment_1_s,hu_moment_1_u,hu_moment_2_b,hu_moment_2_s,hu_moment_2_u,hu_moment_3_b,hu_moment_3_s,hu_moment_3_u,hu_moment_4_b,hu_moment_4_s,hu_moment_4_u,hu_moment_5_b,hu_moment_5_s,hu_moment_5_u,hu_moment_6_b,hu_moment_6_s,hu_moment_6_u,kurtMaj_b,kurtMaj_s,kurtMaj_u,kurtMin_b,kurtMin_s,kurtMin_u,lenMaj_b,lenMaj_s,lenMaj_u,lenMin_b,lenMin_s,lenMin_u,major_axis_b,major_axis_s,major_axis_u,max_ax_length_b,max_ax_length_s,max_ax_length_u,minor_axis_b,minor_axis_s,minor_axis_u,perimeter_b,perimeter_s,perimeter_u,skewMaj_b,skewMaj_s,skewMaj_u,skewMin_b,skewMin_s,skewMin_u,varMaj_b,varMaj_s,varMaj_u,varMin_b,varMin_s,varMin_u,Leaf.sequenced,Nut.sequenced,Nut.presence.in.our.lab,Year,Nuts.sampled.by.Ferrero,Leaves.sampled.by.Ferrero,Garden.number,Plant.number,Duplicates.and.low.quality,Nut.weight,Nut.roundness.index,Shell.thickness.A,Kernel.roundness.index,Leaf.out.2015,Leaf.out.2016,Number.of.suckers,Vigor,Habit,Involucre.length.nut.length,Nut.cluster,Nut.shape,Nut.cross.section,Nut.shape.apex,Nut.apex.prominence,Size.pistil.scar,Nut.color,Size.basal.scar,Curvature.basal.scar,Nut.stripes,Shell.thickness.B.categories,Kernel.blanching.categories,Paste.protein.percentage,Paste.sugar.percentage,Paste.fat.percentage,Hexanal_D,Heptanal_M,Heptanal_D,Octanal_M,Octanal_D,Nonanal_M,Heptenal_2_M,Heptenal_2_D,Octenal_2_M,Filbertone_M,Filbertone_D,Benzaldehyde_M,furan_2_acetyl_M,phenylacetaldehyde_M,pyr2M_D,pyr25DM_M,pyr25DM_D,pyr2E_M,pyr26DM_M,pyr2E36DM_M,pyr235TRI_M,pyr2E6M_M,pyr2E5M_M,Pentanol_D,Pentanol_T,Hexanol_M,Hexanol_D,Heptanol_M,Octanol_M,Nut.average.size,Nut.perimeter,Nut.maximum.caliber,Nut.minimum.caliber,Nut.circularity
GE_TR00,104440.0,105940.25,105062.5,0.49091857784430437,0.37944278741553666,0.56126224837124,1.1486488994679902,1.0861745428635965,1.210636266682406,1276.7137451171875,1816.3799438476562,2341.2459716796875,374.3605194091797,927.42138671875,364.0990753173828,0.16079560258788655,0.16058397477636097,0.16255999849793196,0.00049846615480445,0.00021319108240493143,0.0009921340060417999,6.108425023756799e-06,5.8548807405243035e-05,2.6300424362710217e-05,2.8323421849344295e-08,9.103871279983231e-08,4.248539334574548e-07,7.94775302903938e-15,-1.2355762052960787e-13,2.0238338364673047e-12,3.5686156352751386e-10,-6.196812199418158e-10,1.2789363174511207e-08,-8.055303159046778e-15,8.64834464402991e-14,-2.405659704238283e-13,-1.0049354233598655,-1.0093664076221334,-0.9780262728516869,-1.0050969319257592,-1.0097380063582388,-0.9800774134779453,390.21679872322164,381.93173823759065,408.73156891680696,339.4877820850809,354.30844116826313,337.23967142317946,390.5261535644531,383.1888427734375,402.5104217529297,359.12383090992853,384.0318592897746,371.80866214603043,339.6826477050781,353.1473846435547,332.6800231933594,1222.0407534837723,1267.502693861723,1241.5676642656326,0.024004349726988748,-0.016421425895731152,0.041846824504499544,-0.0100244490439855,0.0018997089718132756,0.021860168143487,9618.465172591852,9251.891658384538,10219.146407920882,7262.754668056592,7844.555512249014,6942.006035231764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR100,129016.5,127695.25,137113.75,0.5150443312013926,0.5615700125219686,0.4783330311032249,1.1666986967159279,1.2237538023695964,1.1538979720071643,2361.4495849609375,1863.0047302246094,1303.1406860351562,359.9538879394531,933.4062957763672,336.2230224609375,0.1611896566725478,0.16311019101180413,0.16149650431979365,0.00061342630678475,0.0011541435970799001,0.0006504469379212,6.477594322651237e-06,1.3725951134189427e-05,2.2541130814633692e-05,4.470109952918365e-08,1.0839649085786485e-07,6.471788796178803e-08,1.3225991457104833e-14,-1.4607581933931785e-13,8.625798263301313e-15,3.6280697127883183e-10,-2.101141240556386e-09,-6.556324357806196e-10,3.4130135168755217e-14,-1.1974229440536246e-13,-6.878109758980362e-14,-0.9898503472118434,-1.0263562254268543,-0.9931650689420177,-0.9894202396587564,-1.0223795883950852,-0.9924650983831411,443.04934102909954,441.16642256034027,459.22349528283394,375.9787036358754,369.62384448561454,389.26855613247454,436.93907165527344,446.1185989379883,448.67161560058594,405.09336047267874,432.188043287165,433.5901737316749,374.404052734375,365.5055007934571,388.47900390625,1396.1067692041397,1455.9473877549171,1692.2474199533463,-0.006149508653654349,-0.012166379250304225,0.0209293805878295,-0.01483889439834125,-0.007004750764566449,-0.0131028384530989,12053.84240325445,12505.201794044868,12829.627856159565,8839.433760367781,8420.006563029801,9439.151960763935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR46,122803.25,143605.75,133130.0,0.6474930710256079,0.3772175087820451,0.48958867942146844,1.3152395338073741,1.0837121165570087,1.147086591708466,611.8973541259766,1215.602882385254,1695.164306640625,363.8258972167969,976.1307678222656,332.21478271484375,0.16598386810153745,0.16029910503225336,0.1619425268161869,0.0020984959925098,0.0001659801457970766,0.0004372183162091,3.307339286496102e-05,2.5880360609212843e-05,0.00011025798609717787,6.587743420661042e-07,3.709927334781929e-08,3.4168309222002223e-07,2.429338996767836e-12,9.857591405710474e-15,4.552241041648975e-13,7.859513564859933e-09,1.543425139102271e-10,4.021579618366172e-09,1.7950909994549037e-12,-1.2196570200377402e-14,1.850889046048253e-12,-0.9926737916234348,-0.9868152681395714,-0.9878904998989854,-0.9915007825005983,-0.9915604796163568,-0.976127138071871,456.47669461648786,455.63043626671606,443.7590828295158,349.04646093422105,411.6268417571015,393.9530669955147,453.86944580078125,445.67100524902344,445.0992889404297,451.2878659072266,450.1532893235161,416.7889193868274,345.75811767578125,411.57144927978516,388.02166748046875,1362.358033657074,1509.468203753233,1444.7047473788261,0.03606578354533225,-0.0367533847273099,0.03863836829518505,0.0374188845929732,-0.01878316113750425,0.03683029921377635,13011.691857041053,12407.481913291122,12224.736536068147,7451.846706701982,10709.477626697057,9433.365418541056,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR47,130539.75,130407.83333333333,,0.5765434598481926,0.4090887182652105,,1.2246241450948516,1.1021289506515257,,573.4232177734375,1380.754623413086,,273.44598388671875,780.4112752278646,,0.16289342537619966,0.16050675542495066,,0.0011011608852874999,0.0002527740799846102,,2.0560454153962297e-05,1.9437532087520027e-05,,2.1326661089565114e-07,4.734291274357827e-08,,-3.0005991424327515e-13,1.7408555610923862e-14,,-4.139230775253594e-09,1.659555591362401e-10,,-6.8922898218108e-13,-2.6092704630966433e-14,,-0.9912281916851684,-0.9868809503916944,,-0.9893158118768337,-0.9887486489132757,,453.84069199691714,433.6042702837149,,373.7285628896443,395.6120245216332,,452.01397705078125,428.6540120442708,,415.05106186840504,424.9952301024746,,369.2053680419922,388.8174997965495,,1373.286965250969,1406.0242044528325,,0.008759630530809949,0.021099893215971333,,-0.018470281166326798,-0.007763376582468166,,12841.986211614409,11482.021534105725,,8514.695882566239,9546.635977830738,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR48,118395.75,134419.25,137593.25,0.5745076797455511,0.4013414359834462,0.6200146950209007,1.2243936592287459,1.097749534979302,1.2745508991758185,1233.3891906738281,1777.4278869628906,2367.510498046875,356.34214782714844,918.0912933349609,392.1198425292969,0.16256373261174833,0.16117470239966564,0.1639373033666321,0.00108319021632685,0.00032828569821525,0.0014935984275463,2.654057373161129e-06,7.375205785529307e-05,1.1777470436700179e-05,2.983550920616603e-08,1.794708778499771e-07,2.0336258404821634e-07,-2.6195247898104113e-16,2.91046855822592e-13,5.127763026608536e-13,-1.6780029041618055e-10,7.077490654096458e-10,5.946601669038099e-09,1.3403394259857026e-14,-6.45225552530371e-13,2.3479609910002854e-13,-0.9963841472245589,-0.9978472065510071,-0.9879786401197828,-0.9962058238717746,-0.9839597657635863,-0.9869616480003094,433.7351577190394,437.89692546553545,474.9948795475933,351.39982814571476,402.97439060090653,377.31846188658943,429.7047424316406,434.6466979980469,472.5727233886719,414.082986612152,420.145945731617,391.8393797611721,350.9136199951172,395.5449905395508,370.77415466308594,1329.3874686956406,1515.0539894402027,1459.7550003528595,-0.00887324278777705,-0.0609426757296628,-0.0221957874126176,-0.006030500363509651,0.05487453378780228,-0.0045977763180768995,11611.108245576066,12077.831288142661,13991.69660284233,7730.04388692903,9688.482206852768,8663.95940099473,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR49,82335.25,81719.25,77385.0,0.5752316206364069,0.3543307917137993,0.5321201440715451,1.2229335707514073,1.070125419941267,1.1822148970977526,606.1098022460938,1201.0614547729492,1722.9263916015625,369.6609191894531,970.3786010742188,378.53285217285156,0.1626198446114006,0.16009545151030355,0.161756769794707,0.0009358600708604999,0.00011003369099520965,0.0007686711964417,4.937379272771648e-05,2.0214448024560397e-05,1.410753113204086e-05,3.9203274205743475e-07,1.5035252031199903e-07,7.658098479215508e-08,9.496973480564436e-13,3.7121660412335976e-13,-5.52070232051465e-14,2.568695010953013e-09,1.274870437817035e-09,-3.7302738110834097e-10,7.649075762975469e-13,-2.9338854481023753e-13,-7.186674232388963e-14,-0.9775050108976666,-0.9596787235514271,-1.0091542671352758,-0.9783086989502552,-0.9672453200204348,-1.0064800615403626,360.5093521862012,345.6948234832149,344.50655551153284,298.7792806955905,318.56038948638525,286.665521069682,358.9479675292969,333.7317810058594,341.8485107421875,346.6091045120942,347.9555970939946,308.66701193019054,293.6460723876953,312.0057601928711,289.1979675292969,1095.3508921861649,1110.5615677535534,1059.7442915439606,0.0210957384765756,-0.027803269290527247,-0.02266341518829605,0.05598841443827435,-0.008769120537264325,0.02663222028058025,7977.894832104474,7001.14343901994,7363.256809702555,5483.927499395644,6152.135899546216,5226.012661862247,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR50,88917.5,112828.5,93304.25,0.5924562766747198,0.5194889972694612,0.6250273114341958,1.2436103462994892,1.177857289981945,1.2821195714283466,1255.9238891601562,1805.897476196289,2383.1998291015625,352.39198303222656,998.0069427490234,411.8723907470703,0.16317373054078532,0.16174613390941914,0.1640317479405713,0.00123395210438125,0.00072234499853355,0.00154584393311975,1.2693460660779374e-05,1.4945885138424326e-05,1.2189552426398035e-06,1.4560854944496927e-07,1.0840343033623602e-07,1.859538002091197e-08,-1.0615027418488688e-13,1.7188707577439442e-13,1.7720325419898918e-15,-3.4379063531555834e-09,1.7747957022054926e-09,3.9867857478840774e-10,-1.4698828606639657e-13,-1.143679050235647e-13,-2.676537902446466e-15,-1.0071038565424346,-0.9926112808632965,-1.0175027537887138,-1.0071373299643913,-0.999412948325106,-1.0162569839480713,376.5872731817113,420.98169250698595,388.3396077039597,303.0382313045358,350.07003954297807,305.2809287958117,375.14642333984375,411.50006103515625,390.06813049316406,364.9189488223915,421.75331694739,373.11306087135597,301.7966003417969,349.9272918701172,304.2611999511719,1296.2661490440369,1351.4940701425076,1311.3580297231674,-0.01212807131691875,-0.0314160598813409,0.0096776119806407,0.0355979853247503,-0.017544265668954225,-0.0019289579092295,8853.318378564407,10612.354225357738,9529.676171866264,5741.147532467743,7725.273825026516,5861.973222831209,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR71,70464.5,87264.75,58719.0,0.5587365610304538,0.6077905090415439,0.4438287453915917,1.205821350118983,1.2798648914829263,1.118999616077914,2369.4063720703125,1740.7628479003906,1237.5662841796875,943.7401733398438,619.4456481933594,341.74171447753906,0.1621291210776384,0.16470896056457207,0.16064465958934554,0.0008810216024067,0.001524474762935325,0.00031666452855805,1.1968897979096012e-05,5.2727277435122725e-05,2.9552477155110366e-05,1.07568910861342e-07,1.1710514183740047e-06,1.9241547067672454e-07,1.2763302276608679e-13,1.4887428392166727e-11,3.3747828050406586e-13,2.8402461827621467e-09,5.2494439367383644e-08,1.4276202480768522e-09,5.204991670075959e-14,-8.681763687360775e-13,8.363172746153652e-13,-1.0031445457821127,-0.9928983288610863,-0.9843916524758634,-1.0019478892299207,-1.0068321855828586,-0.9811904052108682,328.7922730343887,385.23699894331594,291.80962472411903,276.38144272193074,296.81678087607764,264.1088813512484,329.00653076171875,377.57418060302734,287.28131103515625,322.578672574614,386.9900378602018,292.9095423505352,272.81385803222656,296.17708587646484,257.33763885498047,1069.7442899346352,1322.68898499012,1059.2295694947243,-0.0355675366691027,0.07099698014665905,-0.027147813636888004,-0.0066248558402624,0.0021521803317484747,-0.02438454001591595,6794.604736325307,8830.96072811197,5244.74231457554,4700.534654219746,5629.800473908014,4252.051007650231,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR72,139595.0,122457.375,132261.5,0.5375120309566971,0.550806567856388,0.6654837033256249,1.1858793830644347,1.2233969373366684,1.3397419806559017,1047.4078369140625,1866.1167602539062,2627.81005859375,308.7518310546875,983.8364410400391,279.4866943359375,0.1615678118464849,0.16373846539053852,0.1663396307876153,0.0007288381124479002,0.001229055991786775,0.0022925092295637,1.0762829910654845e-05,5.197236910503851e-05,6.376399051772489e-06,7.377767439763658e-08,4.961495378342416e-07,1.608128747862685e-07,-1.2062335900974845e-15,-5.894322989757126e-12,1.6013433023016769e-13,-3.227758365722436e-10,-1.3834762059905606e-08,7.488777396503447e-09,6.573210926982484e-14,-4.478814718636225e-12,2.95774144416786e-14,-0.98475178732429,-1.0110879219337428,-1.0104227468016505,-0.984659597304166,-0.9990926620622859,-1.0073928465088229,462.28174591076186,433.86778267915207,481.8513248073064,394.23267061340704,364.405957208805,352.15273033156626,458.81488037109375,437.68724822998047,475.44580078125,394.30064671516834,422.93535643604423,477.53533900644464,386.8984375,357.4787826538086,354.8786315917969,1437.3910386562347,1481.9872333407402,1427.349407911301,0.0196313321355291,0.030729458175610697,0.0261487933164799,0.0308067222557558,-0.04634713326160745,0.0049409071804139,13213.313622077525,12167.274781012233,14220.022837616494,9437.79080907052,7995.181157290351,7876.32825837327,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE_TR73,85408.75,113704.875,107532.25,0.5376834999623865,0.4511628987615979,0.5639075247440455,1.1873577961855482,1.137216858854284,1.211065774727529,1324.2232055664062,1825.6807556152344,2355.571533203125,309.92787170410156,939.8581848144531,342.8919982910156,0.16173816425987736,0.16181869497976115,0.1621366408098585,0.0007694910796205,0.0005394269864244599,0.0009425172924694501,1.5621721972658817e-05,6.218007123445599e-05,2.280991593855578e-06,1.1241490948879647e-07,2.1784482406343438e-07,2.6724091801287478e-08,-3.173057411896817e-15,4.3281302024009083e-13,6.8357923722217425e-15,-2.6062635092199224e-10,5.884909203853058e-10,7.795602917033247e-10,1.4391835375193433e-13,-6.307293704761783e-13,-9.905232612896588e-16,-0.9974260657413392,-1.0095249082104647,-0.9937203757314126,-0.9971911605911485,-0.9914302137712112,-0.9936430819132465,360.26225409304385,405.2807871591297,409.41474033303894,304.044615549268,364.7932144889288,339.1974625618892,359.42759704589844,407.4190673828125,407.1033020019531,312.90905882361767,400.79944645166404,371.78891175623755,303.03916931152344,357.7782287597656,336.17369079589844,1109.8361721038818,1312.5131008028984,1267.7894893288612,0.0222709166794765,0.0213331866965134,0.0159639463258772,0.035772533886175906,-0.04485983957196165,-0.0011175880347833998,8106.075391852397,10493.563599722122,10411.666843596322,5778.634119258496,8011.867993901476,7108.734070288037,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
